username,repo_name,stars,repo_url
mrdoob,three.js,82400,https://github.com/topics/mrdoob/three.js
libgdx,libgdx,20100,https://github.com/topics/libgdx/libgdx
pmndrs,react-three-fiber,18200,https://github.com/topics/pmndrs/react-three-fiber
BabylonJS,Babylon.js,17500,https://github.com/topics/BabylonJS/Babylon.js
aframevr,aframe,14200,https://github.com/topics/aframevr/aframe
ssloy,tinyrenderer,13800,https://github.com/topics/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13000,https://github.com/topics/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11400,https://github.com/topics/FreeCAD/FreeCAD
metafizzy,zdog,9200,https://github.com/topics/metafizzy/zdog
CesiumGS,cesium,8700,https://github.com/topics/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8000,https://github.com/topics/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7100,https://github.com/topics/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6800,https://github.com/topics/isl-org/Open3D
blender,blender,5700,https://github.com/topics/blender/blender
domlysz,BlenderGIS,5300,https://github.com/topics/domlysz/BlenderGIS
spritejs,spritejs,4900,https://github.com/topics/spritejs/spritejs
openscad,openscad,4800,https://github.com/topics/openscad/openscad
jagenjo,webglstudio.js,4600,https://github.com/topics/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4600,https://github.com/topics/tensorspace-team/tensorspace
YadiraF,PRNet,4600,https://github.com/topics/YadiraF/PRNet
AaronJackson,vrn,4400,https://github.com/topics/AaronJackson/vrn
google,model-viewer,4400,https://github.com/topics/google/model-viewer
ssloy,tinyraytracer,4200,https://github.com/topics/ssloy/tinyraytracer
mosra,magnum,4000,https://github.com/topics/mosra/magnum
FyroxEngine,Fyrox,4000,https://github.com/topics/FyroxEngine/Fyrox
gfxfundamentals,webgl-fundamentals,3600,https://github.com/topics/gfxfundamentals/webgl-fundamentals
tengbao,vanta,3600,https://github.com/topics/tengbao/vanta
cleardusk,3DDFA,3300,https://github.com/topics/cleardusk/3DDFA
jasonlong,isometric-contributions,3200,https://github.com/topics/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,3000,https://github.com/topics/cnr-isti-vclab/meshlab
